,Organizations,Organization,Source,P1,P2,Total_Annual,Flow,Disbursement_Type,Parish,Type,Source_Type,Receiving,Receiving_Type,Year
2909,INDIGENT DEFENDER BOARD-CRIMINAL FINES - OTHER,Jefferson Parish Indigent Defender,Criminal Fines - Other,361.5,2364.25,2725.75,less,Disbursements to governments & nonprofits,jefferson,Criminal,Criminal Fines,,,
2910,INDIGENT DEFENDER BOARD-SERVICE/COLLECTION FEES,Jefferson Parish Indigent Defender,Service/Collection Fees,6540.22,13930.42,20470.64,less,Disbursements to governments & nonprofits,jefferson,Unk,Service/Collection Fees,,,
2911,CITY OF KENNER-CRIMINAL COURT COSTS/FEES,City of Kenner,Criminal Court Costs/Fees,686.66,1924.66,2611.32,less,Disbursements to governments & nonprofits,jefferson,Criminal,Misc. Criminal Costs/Fees,,,
2912,CITY OF HARAHAN-CRIMINAL COURT COSTS/FEES,City of Harahan,Criminal Court Costs/Fees,93.2,122.3,215.5,less,Disbursements to governments & nonprofits,jefferson,Criminal,Misc. Criminal Costs/Fees,,,
2913,CITY OF WESTWEGO-CRIMINAL COURT COSTS/FEES,City of Westwego,Criminal Court Costs/Fees,95.26,105.21,200.47,less,Disbursements to governments & nonprofits,jefferson,Criminal,Misc. Criminal Costs/Fees,,,
2914,CRIME STOPPERS INC-CRIMINAL COURT COSTS/FEES,Jefferson Crime Stoppers,Criminal Court Costs/Fees,6860.81,26620.25,33481.06,less,Disbursements to governments & nonprofits,jefferson,Criminal,Misc. Criminal Costs/Fees,,,
2915,TOWN OF GRAND ISLE-CRIMINAL COURT COSTS/FEES,Town of Grand Isle,Criminal Court Costs/Fees,0,50,50,less,Disbursements to governments & nonprofits,jefferson,Criminal,Misc. Criminal Costs/Fees,,,
2916,CITY OF GRETNA-CRIMINAL COURT COSTS/FtES,City of Gretna,Criminal Court Costs/Fees,81.14,218.86,300,less,Disbursements to governments & nonprofits,jefferson,Criminal,Court Cost/Fees,,,
2917,TREASURER STATE OF LA. (SCITF)CRIMINAL COURT COSTS/FEES,State of Louisiana Treasurer (SCITF),Criminal Court Costs/Fees,9052.97,29785.42,38838.39,less,Disbursements to governments & nonprofits,jefferson,Criminal,Misc. Criminal Costs/Fees,,,
2918,TREASURER STATE OF LA. (SCITF)-PROBATION,State of Louisiana Treasurer (SCITF),Probation,5270.09,10469.34,15739.43,less,Disbursements to governments & nonprofits,jefferson,Criminal,Probation/Parole/Supervision,,,
2919,JEFFERSON PARISH SCHOOL BOARD-CRIMINAL FINES - OTHERer,Jefferson Parish School Board,Criminal Fines - Other,224.18,127.82,352,less,Disbursements to governments & nonprofits,jefferson,Criminal,Criminal Fines,,,
2920,SUPREME COURT OF LOUISIANA (JC)-CRIMINAL COURT COSTS/FEES,Louisiana Supreme court (JC),Criminal Court Costs/Fees,1617.46,6405.87,8023.33,less,Disbursements to governments & nonprofits,jefferson,Criminal,Misc. Criminal Costs/Fees,,,
2921,Collection Fee for Collecting/Disbursing to Others Based on Percentage of Collection,Collecting Agency,Unspecified,1309879.21,4875535.38,6185414.59,less,Amounts retained by collection agency,jefferson,Unk,Service/Collection Fees,,,
2922,Collection Fee for Collecting/Disbursing to Others Based on Fixed Amount,Collecting Agency,Unspecified,41376.38,212097.01,253473.39,less,Amounts retained by collection agency,jefferson,Unk,Service/Collection Fees,,,
2923,Amounts Self-Disbursed,Self - Disbursed to Collecting Agency,,0,0,0,less,Amounts retained by collection agency,jefferson,Unk,Unk,,,
2924,SHERIFFS GENERAL FUND-BOND FEES,Sheriffs General Fund,Bond Fees,45.71,144.55,190.26,less,Amounts retained by collection agency,jefferson,Criminal,Bond Fees,,,
2925,SHERIFFS GENERAL FUND-CRIMINAL COURT COSTS/FEES,Sheriffs General Fund,Criminal Court Costs/Fees,80906.17,225867.86,306774.03,less,Amounts retained by collection agency,jefferson,Criminal,Misc. Criminal Costs/Fees,,,
2926,SHERIFFS GENERAL FUND-CRIMINAL HNES - CONTEMPT,Sheriffs General Fund,Criminal Fines - Contempt,28217.36,86516.89,114734.25,less,Amounts retained by collection agency,jefferson,Criminal,Contempt Fines,,,
2927,SHERIFFS GENERAL RJND-CfTHER,Sheriffs General Fund,Other,84.81,270.28,355.09,less,Amounts retained by collection agency,jefferson,Unk,Unk,,,
2928,OVER/UNDER AMOUNT,Unspecified - Over/Under,Unspecified,953.04,11141.29,12094.33,less,Amounts retained by collection agency,jefferson,Unk,Unk,,,
2930,Civil Fee Refunds,Individuals - Civil Fee Refunds,Unspecified,0,0,0,less,Disbursements to individuals/3rd party collection or processing agencies,jefferson,Civil,Civil Fees/Garnishments/Advance Deposits,,,
2931,Bond Fee Refunds,Individuals - Bond Fee Refunds,Unspecified,0,0,0,less,Disbursements to individuals/3rd party collection or processing agencies,jefferson,Criminal,Bond Fees Refunds,,,
2932,Restitution Payments to Individuals,Individuals - Restitution,Unspecified,0,0,0,less,Disbursements to individuals/3rd party collection or processing agencies,jefferson,Unk,Restitution,,,
2933,Other Disbusements to Individuals,Individuals - Other,Unspecified,0,0,0,less,Disbursements to individuals/3rd party collection or processing agencies,jefferson,Unk,Unk,,,
2934,Payments to 3rd Party Gollection/Processing Agendes,3rd Party Collection/Processing Agencies,Unspecified,0,0,0,less,Disbursements to individuals/3rd party collection or processing agencies,jefferson,Unk,Unk,Payments to 3rd Party Collection/Processing Agencies,,
2935,Criminal Court Cost / Fees - Clerk of Court (35th Judicial District),Grant Parish Clerk of Court,Criminal Court Costs/Fees,18122,21413,39535,less,Disbursements to governments & nonprofits,grant,Criminal,Court Cost/Fees,,,
2936,Criminal Court Cost / Fees - State of Louisiana - CMIS,State of Louisiana Treasury - CMIS,Criminal Court Costs/Fees,2005,2252,4257,less,Disbursements to governments & nonprofits,grant,Criminal,Court Cost/Fees,,,
2937,Criminal Court Cost / Fees - Drug Abuse Resistence Education,DARE Program,Criminal Court Costs/Fees,3365,6381,9746,less,Disbursements to governments & nonprofits,grant,Criminal,Court Cost/Fees,,,
2938,Criminal Court Cost / Fees - District Attorney (35th Judicial District),35th Judicial District Attorney,Criminal Court Costs/Fees,39618,57613,97231,less,Disbursements to governments & nonprofits,grant,Criminal,Court Cost/Fees,,,
2939,Criminal Court Cost / Fees - Judge's Office (35th Judicial District),35th Judicial District Judges Office,Criminal Court Costs/Fees,18522,28238,46760,less,Disbursements to governments & nonprofits,grant,Criminal,Court Cost/Fees,,,
2940,Criminal Court Cost / Fees - Louisiana Department of Health and Hospitals,Louisiana Department of Health and Hospitals,Criminal Court Costs/Fees,1615,2019,3634,less,Disbursements to governments & nonprofits,grant,Criminal,Court Cost/Fees,,,
2941,Criminal Court Cost / Fees - Louisiana Supreme Court,Louisiana Supreme Court,Criminal Court Costs/Fees,323,355,678,less,Disbursements to governments & nonprofits,grant,Criminal,Court Cost/Fees,,,
2942,Criminal Court Cost / Fees - Louisiana Commission on Law Enforcement,Louisiana Commission on Law Enforcement,Criminal Court Costs/Fees,4240,5140,9380,less,Disbursements to governments & nonprofits,grant,Criminal,Court Cost/Fees,,,
2943,Criminal Court Cost / Fees - North Louisiana Crime Lab,North Louisiana Crime Laboratory,Criminal Court Costs/Fees,25769,29353,55122,less,Disbursements to governments & nonprofits,grant,Criminal,Court Cost/Fees,,,
2944,Criminal Court Cost / Fees - Other,Other,Criminal Court Costs/Fees,1725,2543,4268,less,Disbursements to governments & nonprofits,grant,Criminal,Court Cost/Fees,,,
2945,Criminal Court Cost / Fees - Police Jury (Grant Parish),Grant Parish Police Jury,Criminal Court Costs/Fees,20082,11450,31532,less,Disbursements to governments & nonprofits,grant,Criminal,Court Cost/Fees,,,
2946,Criminal Court Cost / Fees - Public Defender (35th Judicial District),35th Judicial District Public Defender,Criminal Court Costs/Fees,38831,51606,90437,less,Disbursements to governments & nonprofits,grant,Criminal,Court Cost/Fees,,,
2947,"Grant Parish Criminal Court Fund, Criminal Fines - Other - Criminal Court Fund (35th Judicial District)",35th Judicial District Criminal Court Fund,Criminal Fines - Other,72140,100409,172549,less,Disbursements to governments & nonprofits,grant,Criminal,Criminal Fines,,,
2948,"Grant Parish Criminal Court Fund, Criminal Fines - Other - Village of Creola",Village of Creola,Grant Parish Criminal Court Fund (Criminal Fines),281,396,677,less,Disbursements to governments & nonprofits,grant,Criminal,Criminal Fines,,,
2949,Bond Fees - District Attorney (35th Judicial District),35th Judicial District Attorney,Bond Fees,60,0,60,less,Disbursements to governments & nonprofits,grant,Criminal,Bond Fees,,,
2950,Bond Fees - Louisiana Wildlife and Fisheries,Louisiana Department of Wildlife and Fisheries,Bond Fees,3624,0,3624,less,Disbursements to governments & nonprofits,grant,Criminal,Bond Fees,Louisiana Department of Wildlife and Fisheries,Governmental,
2951,Criminal Court Costs / Fees,Collecting Agency,Criminal Court Costs/Fees,45568,64720,110288,less,Amounts retained by collection agency,grant,Criminal,Court Cost/Fees,,,
2952,Bond Fees,Individuals - Bond Fee Refunds,Bond Fees,8073,122641,130714,less,Amounts retained by collection agency,grant,Criminal,Bond Fees,,,
2953,Bond Fee Refunds,Individuals - Bond Fee Refunds,Unspecified,124145,11103,135248,less,Disbursements to inividuals/3rd party collection or processing agencies,grant,Criminal,Bond Fees Refunds,,,
2954,Bond Fees,West Carroll Parish Sheriff,Bond Fees,3500,7500,11000,more,NAN,westcarroll,Criminal,Bond Fees,,,
2955,Criminal Court Costs/Fees,West Carroll Parish Sheriff,Criminal Court Costs/Fees,144199,171667,315866,more,NAN,westcarroll,Criminal,Misc. Criminal Costs/Fees,,,
2956,Restitution,West Carroll Parish Sheriff,Restitution,11159,16218,27377,more,NAN,westcarroll,Unk,Restitution,,,
2957,Bond Fees,West Carroll Parish Sheriff,Bond Fees,15948,40253,56201,more,NAN,sthelena,Criminal,Bond Fees,,,
2958,Asset Forfeiture/Sale,West Carroll Parish Sheriff,Asset Forfeiture/Sale,6275,7567,13842,more,NAN,sthelena,Criminal,Asset Forfeiture,,,
2959,Criminal Court Costs/Fees,West Carroll Parish Sheriff,Criminal Court Costs/Fees,1559,1319,2878,more,NAN,sthelena,Criminal,Misc. Criminal Costs/Fees,,,
2960,Criminal Fines - Other,West Carroll Parish Sheriff,Criminal Fines - Other,4810,3960,8770,more,NAN,sthelena,Criminal,Criminal Fines,,,
2961,Bond Fees,West Carroll Parish Sheriff,Bond Fees,114478,152108,266586,more,NAN,jeffersondavis,Criminal,Bond Fees,,,
2962,Asset Forfeiture/Sale,West Carroll Parish Sheriff,Asset Forfeiture/Sale,58987,482626,541613,more,NAN,jeffersondavis,Criminal,Asset Forfeiture,,,
2963,Criminal Court Costs/Fees,West Carroll Parish Sheriff,Criminal Court Costs/Fees,250249,211082,461331,more,NAN,jeffersondavis,Criminal,Misc. Criminal Costs/Fees,,,
2964,Interest Earnings on Collected Balances,West Carroll Parish Sheriff,Interest,63,17,80,more,NAN,jeffersondavis,Unk,Interest,,,
2965,Civil Fees - Jefferson Davis Parish Clerk of Court,Jefferson Davis Parish Clerk of Court,Civil Fees,7801,41256,49057,less,Disbursements to governments & nonprofits,jeffersondavis,Civil,Civil Fees/Garnishments/Advance Deposits,,,
2966,Civil Fees - Jefferson Davis Parish School Board,Jefferson Davis Parish School Board,Civil Fees,0,399,399,less,Disbursements to governments & nonprofits,jeffersondavis,Civil,Civil Fees/Garnishments/Advance Deposits,,,
2967,Civil Fees - Town of Elton,Town of Elton,Civil Fees,828,387,1215,less,Disbursements to governments & nonprofits,jeffersondavis,Civil,Civil Fees/Garnishments/Advance Deposits,,,
2968,Bond Fees - Jefferson Davis Parish Clerk of Court,Jefferson Davis Parish Clerk of Court,Bond Fees,238,306,544,less,Disbursements to governments & nonprofits,jeffersondavis,Criminal,Bond Fees,,,
2969,Bond Fees - Jefferson Davis Parish District Attorney,31st Judicial District Attorney,Bond Fees,9858,9755,19613,less,Disbursements to governments & nonprofits,jeffersondavis,Criminal,Bond Fees,,,
2970,Bond Fees - Jefferson Davis Parish Police Jury,Jefferson Davis Parish Police Jury,Bond Fees,8990,8684,17674,less,Disbursements to governments & nonprofits,jeffersondavis,Criminal,Bond Fees,,,
2971,Bond Fees - Southwest Louisiana Crime Lab,Southwest Louisiana Criminalistics Lab,Bond Fees,248,306,554,less,Disbursements to governments & nonprofits,jeffersondavis,Criminal,Bond Fees,,,
2972,Bond Fees - Thirty-first Judicial District Public Defender,31st Judicial District Public Defender,Bond Fees,9238,8990,18228,less,Disbursements to governments & nonprofits,jeffersondavis,Criminal,Bond Fees,,,
2973,Asset Forfeiture/Sale - Acadia Parish Sheriff's Office,Acadia Parish Sheriff,Asset Forfeiture/Sale,53,30,83,less,Disbursements to governments & nonprofits,jeffersondavis,Criminal,Asset Forfeiture,,,
2974,Asset Forfeiture/Sale - Beauregard Parish Sheriff Office,Beauregard Parish Sheriff,Asset Forfeiture/Sale,90,0,90,less,Disbursements to governments & nonprofits,jeffersondavis,Criminal,Asset Forfeiture,,,
2975,Asset Forfeiture/Sale - Calcasiue Parish Sheriff's Office,Calcasieu Parish Sheriff,Asset Forfeiture/Sale,134,233,367,less,Disbursements to governments & nonprofits,jeffersondavis,Criminal,Asset Forfeiture,,,
2976,Asset Forfeiture/Sale - East Baton Rouge Parish Sheriff Office,East Baton Rouge Parish,Asset Forfeiture/Sale,260,60,320,less,Disbursements to governments & nonprofits,jeffersondavis,Criminal,Asset Forfeiture,,,
2977,Asset Forfeiture/Sale - Jefferson Parish Sheriff Office,Jefferson Parish Sheriff,Asset Forfeiture/Sale,90,30,120,less,Disbursements to governments & nonprofits,jeffersondavis,Criminal,Asset Forfeiture,,,
2978,Asset Forfeiture/Sale - Lafayette Parish Sheriff's Office,Lafayette Parish Sheriff,Asset Forfeiture/Sale,37,0,37,less,Disbursements to governments & nonprofits,jeffersondavis,Criminal,Asset Forfeiture,,,
2979,Asset Forfeiture/Sale - Orleans Parish Sheriff Office,Orleans Parish Sheriff,Asset Forfeiture/Sale,90,120,210,less,Disbursements to governments & nonprofits,jeffersondavis,Criminal,Asset Forfeiture,,,
2980,Asset Forfeiture/Sale - Ouachita Parish Sheriff Office,Ouachita Parish Sheriff,Asset Forfeiture/Sale,143,179,322,less,Disbursements to governments & nonprofits,jeffersondavis,Criminal,Asset Forfeiture,,,
2981,Asset Forfeiture/Sale - St Landry Parish Sheriff Office,St. Landry Parish Sheriff,Asset Forfeiture/Sale,53,0,53,less,Disbursements to governments & nonprofits,jeffersondavis,Criminal,Asset Forfeiture,,,
2982,Asset Forfeiture/Sale - Vermilion Parish Sheriff's Office,Vermillion Parish Sheriff,Asset Forfeiture/Sale,57,0,57,less,Disbursements to governments & nonprofits,jeffersondavis,Criminal,Asset Forfeiture,,,
2983,Criminal Court Costs/Fees - Jefferson Davis Parish Clerk of Court,Jefferson Davis Parish Clerk of Court,Criminal Court Costs/Fees,23649,28033,51682,less,Disbursements to governments & nonprofits,jeffersondavis,Criminal,Misc. Criminal Costs/Fees,,,
2984,Criminal Court Costs/Fees - Jefferson Davis Parish District Attorney,31st Judicial District Attorney,Criminal Court Costs/Fees,34611,43175,77786,less,Disbursements to governments & nonprofits,jeffersondavis,Criminal,Misc. Criminal Costs/Fees,,,
2985,Criminal Court Costs/Fees - Jefferson Davis Parish Police Jury,Jefferson Davis Parish Police Jury,Criminal Court Costs/Fees,103200,124565,227765,less,Disbursements to governments & nonprofits,jeffersondavis,Criminal,Misc. Criminal Costs/Fees,,,
2986,Criminal Court Costs/Fees - Louisiana Commission on Law Enforcement,Louisiana Commission on Law Enforcement,Criminal Court Costs/Fees,141,154,295,less,Disbursements to governments & nonprofits,jeffersondavis,Criminal,Misc. Criminal Costs/Fees,,,
2987,Criminal Court Costs/Fees - Louisiana Department of Health & Hospitals,Louisiana Department of Health and Hospitals,Criminal Court Costs/Fees,2607,3439,6046,less,Disbursements to governments & nonprofits,jeffersondavis,Criminal,Misc. Criminal Costs/Fees,,,
2988,Criminal Court Costs/Fees - Louisiana State Police,Louisiana State Police,Criminal Court Costs/Fees,1900,992,2892,less,Disbursements to governments & nonprofits,jeffersondavis,Criminal,Misc. Criminal Costs/Fees,,,
2989,Criminal Court Costs/Fees - Louisiana State Treasurer,Louisiana State Treasurer,Criminal Court Costs/Fees,6676,7607,14283,less,Disbursements to governments & nonprofits,jeffersondavis,Criminal,Misc. Criminal Costs/Fees,,,
2990,Criminal Court Costs/Fees - Louisiana Supreme Court,Louisiana Supreme Court,Criminal Court Costs/Fees,462,607,1069,less,Disbursements to governments & nonprofits,jeffersondavis,Criminal,Misc. Criminal Costs/Fees,,,
2991,Criminal Court Costs/Fees - Southwest Louisiana Crime Lab,Southwest Louisiana Criminalistics Lab,Criminal Court Costs/Fees,25704,29520,55224,less,Disbursements to governments & nonprofits,jeffersondavis,Criminal,Misc. Criminal Costs/Fees,,,
2992,Criminal Court Costs/Fees - Thirty-first Judicial District Court,31st Judicial Distict Court,Criminal Court Costs/Fees,4945,6465,11410,less,Disbursements to governments & nonprofits,jeffersondavis,Criminal,Misc. Criminal Costs/Fees,,,
2993,Criminal Court Costs/Fees - Thirty-first Judicial District Public Defender,31st Judicial District Public Defender,Criminal Court Costs/Fees,48951,64279,113230,less,Disbursements to governments & nonprofits,jeffersondavis,Criminal,Misc. Criminal Costs/Fees,,,
2994,Criminal Court Costs/Fees - Town of Welsh,Town of Welsh,Criminal Court Costs/Fees,380,0,380,less,Disbursements to governments & nonprofits,jeffersondavis,Criminal,Misc. Criminal Costs/Fees,,,
2995,Civil Fees,Jefferson Davis Parish Sheriff,Civil Fees,30915,35084,65999,less,Amounts retained by collection agency,jeffersondavis,Civil,Civil Fees/Garnishments/Advance Deposits,,,
2996,Bond Fees,Jefferson Davis Parish Sheriff,Bond Fees,11098,11285,22383,less,Amounts retained by collection agency,jeffersondavis,Criminal,Bond Fees,,,
2997,Asset Forfeiture/Sale,Jefferson Davis Parish Sheriff,Asset Forfeiture/Sale,9527,27247,36774,less,Amounts retained by collection agency,jeffersondavis,Criminal,Asset Forfeiture,,,
2998,Criminal Court Costs/Fees,Jefferson Davis Parish Sheriff,Criminal Court Costs/Fees,30330,33884,64214,less,Amounts retained by collection agency,jeffersondavis,Criminal,Misc. Criminal Costs/Fees,,,
2999,Civil Fee Refunds,Individuals - Civil Fee Refunds,Unspecified,1257,0,1257,less,Disbursements to individuals/3rd party collection or processing agencies,jeffersondavis,Civil,Civil Fees/Garnishments/Advance Deposits,,,
3000,Other Disbursements to Individuals,Individuals - Other,Unspecified,96043,593020,689063,less,Disbursements to individuals/3rd party collection or processing agencies,jeffersondavis,Unk,Unk,Other Disbursements to Individuals,Other Disbursements to Individuals,
3001,"St. Helena Clerk of Court, Civil Fees",St. Helena Clerk of Court,Civil Fees,1563,3294,4857,less,Disbursements to governments & nonprofits,sthelena,Civil,Civil Fees/Garnishments/Advance Deposits,,,
3002,"21st Judicial District Attorney, Bond Fees",21st Judicial District Attorney,Bond Fees,2924,7807,10731,less,Disbursements to governments & nonprofits,sthelena,Criminal,Bond Fees,,,
3003,"21st Judicial Public Defender Board, Bond Fees",21st Judicial Public Defender Board,Bond Fees,2454,7047,9501,less,Disbursements to governments & nonprofits,sthelena,Criminal,Bond Fees,,,
3004,"Louisiana State Police Crime Lab, Bond Fees",Louisiana State Police Crime Laboratory,Bond Fees,188,304,492,less,Disbursements to governments & nonprofits,sthelena,Criminal,Bond Fees,,,
3005,"21st Judicial Expense Fund, Bond",21st Judicial Expense Fund,Bond Fees,2266,6743,9009,less,Disbursements to governments & nonprofits,sthelena,Criminal,Bond Fees,,,
3006,"St. Helena Sheriff General Fund, Bond Fees",St. Helena Sheriff General Fund,Bond Fees,3864,9327,13191,less,Amounts retained by collection agency,sthelena,Criminal,Bond Fees,,,
3007,"St. Helena Sheriff General Fund, Court Costs/Fees",St. Helena Sheriff General Fund,Court Costs & Fees,1559,1319,2878,less,Amounts retained by collection agency,sthelena,Unk,Court Cost/Fees,,,
3008,"St. Helena Sheriff General Fund, Fines - Other",St. Helena Sheriff General Fund,Fines - Other,4810,3960,8770,less,Amounts retained by collection agency,sthelena,Criminal,Criminal Fines,,,
3009,St. Helena Sheriff General Fund-Civil Fees,St. Helena Sheriff General Fund,Civil Fees,10492,84600,95092,less,Amounts retained by collection agency,sthelena,Civil,Civil Fees/Garnishments/Advance Deposits,,,
3010,Civil Fee Refunds,Individuals - Civil Fee Refunds,Unspecified,52172,25208,77380,less,Disbursements to individuals/3rd party collection or processing agencies,sthelena,Civil,Civil Fees/Garnishments/Advance Deposits,,,
3011,Bond Fee Refunds,Individuals - Bond Fee Refunds,Unspecified,2180,1300,3480,less,Disbursements to individuals/3rd party collection or processing agencies,sthelena,Criminal,Bond Fees Refunds,,,
3012,Other Disbursements to Individuals,Individuals - Other,Unspecified,2101,3082,5183,less,Disbursements to individuals/3rd party collection or processing agencies,sthelena,Unk,Unk,Other Disbursements to Individuals,Other Disbursements to Individuals,
3013,Claiborne Parish Police Jury - Court Costs/Fees,Claiborne Parish Police Jury,Claiborne Parish Police Jury - Court Costs/Fees,3774,1602,5376,receipts,NAN,claiborne,Unk,Court Cost/Fees,,,
3014,West Carroll District Attorney - Criminal Court Costs/Fees,5th Judicial District Attorney,Criminal Court Costs/Fees,17791,23391,41182,less,Disbursements to governments & nonprofits,westcarroll,Criminal,Misc. Criminal Costs/Fees,,,
3015,West Carrol Clerk of Court - Criminal Court Costs/Fees,West Carroll Clerk of Court,Criminal Court Costs/Fees,7673,8669,16342,less,Disbursements to governments & nonprofits,westcarroll,Criminal,Misc. Criminal Costs/Fees,,,
3016,Indigent Defender Board - Criminal Court Costs/Fees,West Carroll Indigent Defender Board,Criminal Court Costs/Fees,12222,16575,28797,less,Disbursements to governments & nonprofits,westcarroll,Criminal,Misc. Criminal Costs/Fees,,,
3017,North Louisiana Crime Lab - Criminal Court Costs/Fees,North Louisiana Crime Laboratory,Criminal Court Costs/Fees,15214,19010,34224,less,Disbursements to governments & nonprofits,westcarroll,Criminal,Misc. Criminal Costs/Fees,,,
3018,Louisiana Commission on Law Enforcement - Criminal Court Costs/Fees,Louisiana Commission on Law Enforcement,Criminal Court Costs/Fees,3372,3828,7200,less,Disbursements to governments & nonprofits,westcarroll,Criminal,Misc. Criminal Costs/Fees,,,
3019,Fifth Judicial District Combined Court Fund - Criminal Court Costs/Fees,5th Judicial District Combined Court fund,Criminal Court Costs/Fees,29283,31823,61106,less,Disbursements to governments & nonprofits,westcarroll,Criminal,Misc. Criminal Costs/Fees,,,
3020,West Carroll Parish Police Jury - Criminal Court Costs/Fees,West Carroll Parish Police Jury,Criminal Court Costs/Fees,2825,3505,6330,less,Disbursements to governments & nonprofits,westcarroll,Criminal,Misc. Criminal Costs/Fees,,,
3021,Fifth Judicial District Court Expense Fund - Criminal Court Costs/Fees,5th Judicial District Court Expense fund,Criminal Court Costs/Fees,1448,1712,3160,less,Disbursements to governments & nonprofits,westcarroll,Criminal,Misc. Criminal Costs/Fees,,,
3022,Fifth Judicial District Judge Fund - Criminal Court Costs/Fees,5th Judicial District Judge Fund,Criminal Court Costs/Fees,30568,31970,62538,less,Disbursements to governments & nonprofits,westcarroll,Criminal,Misc. Criminal Costs/Fees,,,
3023,Louisiana State Police - Criminal Court Costs/Fees,Louisiana State Police,Criminal Court Costs/Fees,150,374,524,less,Disbursements to governments & nonprofits,westcarroll,Criminal,Misc. Criminal Costs/Fees,,,
3024,"Town of Oak Grove, Louisiana - Criminal Court Costs/Fees",Town of Oak Grove,Criminal Court Costs/Fees,0,1898,1898,less,Disbursements to governments & nonprofits,westcarroll,Criminal,Misc. Criminal Costs/Fees,,,
3025,Traumatic Head and Spinal Injury Trust Fund - Criminal Court Costs/Fees,Traumatic Head and Spinal Chord Injury Trust Fund,Criminal Court Costs/Fees,345,520,865,less,Disbursements to governments & nonprofits,westcarroll,Criminal,Misc. Criminal Costs/Fees,,,
3026,Louisiana Supreme Court - Criminal Court Costs/Fees,Louisiana Supreme Court,Criminal Court Costs/Fees,664,769,1433,less,Disbursements to governments & nonprofits,westcarroll,Criminal,Misc. Criminal Costs/Fees,,,
3027,Department of Wildlife and Fisheries - Criminal Court Costs/Fees,Louisiana Department of Wildlife and Fisheries,Criminal Court Costs/Fees,1032,348,1380,less,Disbursements to governments & nonprofits,westcarroll,Criminal,Misc. Criminal Costs/Fees,Louisiana Department of Wildlife and Fisheries,Governmental,
3028,Keep Louisiana Beautiful - Criminal Court Costs/Fees,Keep Louisiana Beautiful,Criminal Court Costs/Fees,75,50,125,less,Disbursements to governments & nonprofits,westcarroll,Criminal,Misc. Criminal Costs/Fees,,,
3029,Civil Fees,Collecting Agency,Civil Fees,11342,4967,16309,less,Amounts retained by collection agency,westcarroll,Civil,Civil Fees/Garnishments/Advance Deposits,,,
3030,Criminal Court Costs/Fees,Collecting Agency,Criminal Court Costs/Fees,20540,26220,46760,less,Amounts retained by collection agency,westcarroll,Criminal,Misc. Criminal Costs/Fees,,,
3031,Civil Fee Refunds,Individuals - Civil Fee Refunds,Unspecified,66898,16768,83666,less,Disbursements to individuals/3rd party collection or processing agencies,westcarroll,Civil,Civil Fees/Garnishments/Advance Deposits,,,
3032,Bond Fee Refunds,Individuals - Bond Fee Refunds,Unspecified,9750,2000,11750,less,Disbursements to individuals/3rd party collection or processing agencies,westcarroll,Criminal,Bond Fees Refunds,,,
3033,Restitution Payments to Individuals,Individuals - Restitution,Unspecified,11159,16218,27377,less,Disbursements to individuals/3rd party collection or processing agencies,westcarroll,Unk,Restitution,,,
3034,Other Disbursements to Individuals,Individuals - Other,Unspecified,1100,1387,2487,less,Disbursements to individuals/3rd party collection or processing agencies,westcarroll,Unk,Unk,Other Disbursements to Individuals,Other Disbursements to Individuals,
3035,Payments to 3rd Party Collection/Processing Agencies,3rd Party Collection/Processing Agencies,Unspecified,2734,494,3228,less,Disbursements to individuals/3rd party collection or processing agencies,westcarroll,Unk,Unk,Payments to 3rd Party Collection/Processing Agencies,,
3036,Criminal Fines - Other,Grant Parish Sheriff,Criminal Fines - Other,72421,100805,173226,more,NAN,grant,Criminal,Criminal Fines,,,
3037,Bond Fees,Grant Parish Sheriff,Bond Fees,119604,39318,158922,more,NAN,grant,Criminal,Bond Fees,,,
3038,Interest Earned on Collected Balances,Grant Parish Sheriff,Interest,79,110,189,more,NAN,grant,Unk,Interest,,,
3039,Other,Grant Parish Sheriff,Other,1250,3317,4567,more,NAN,grant,Unk,Other,,,
3040,Criminal fines - other,Terrebone Parish Sherif,Criminal Fines - Other,43544,105797,149341,more,NAN,terrebonne,Criminal,Criminal Fines,,,
3041,Civil fees,Terrebone Parish Sherif,Civil Fees,1555944,542624,2098568,more,NAN,terrebonne,Civil,Civil Fees/Garnishments/Advance Deposits,,,
3042,Restitution,Terrebone Parish Sherif,Restitution,10788,13263,24051,more,NAN,terrebonne,Unk,Restitution,,,
3043,Interest earnings on collected balances,Terrebone Parish Sherif,Interest,1827,40,1867,more,NAN,terrebonne,Unk,Interest,,,
3044,"Bond fees 380, 942, BR, 2%",Terrebone Parish Sherif,Bond Fees,254833,307565,562398,more,NAN,terrebonne,Criminal,Bond Fees,,,
3045,Service/collection fees,Terrebone Parish Sherif,Service/Collection Fees,380,1014,1394,more,NAN,terrebonne,Unk,Service/Collection Fees,,,
3046,Other - cash bonds,Terrebone Parish Sherif,Cash Bonds,225635,393197,618832,more,NAN,terrebonne,Criminal,Bond Fees,,,
3047,Other - civil,Terrebone Parish Sherif,Civil,745,286,1031,more,NAN,terrebonne,Civil,Civil Fees/Garnishments/Advance Deposits,,,
3048,Rapides Parish District Attorney - criminal fines - other,9th Judicial District Attorney,Criminal Fines - Other,17295,20899,38194,less,Disbursements to governments & nonprofits,rapides,Criminal,Criminal Fines,,,
